chamber,label,group,congress,committee_n,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
House,House Rules,not_predicted,113,13,444,0.483,0.2585,0.22449999999999998,0.22449999999999998,-0.381,0.508,FALSE,0.42775722427757223
House,House Rules,not_predicted,114,13,441,0.323,0.292,0.031000000000000028,0.031000000000000028,-0.379,0.5100249999999996,FALSE,0.8595140485951405
House,House Rules,not_predicted,115,14,450,0.364,0.28049999999999997,0.08350000000000002,0.08350000000000002,-0.361,0.5005,FALSE,0.7353264673532647
House,House Rules,not_predicted,116,14,449,-0.3585,-0.194,-0.16449999999999998,0.16449999999999998,-0.3755,0.46950000000000003,FALSE,0.535046495350465
House,House Rules,not_predicted,117,13,455,-0.365,-0.164,-0.20099999999999998,0.20099999999999998,-0.387,0.489,FALSE,0.5225477452254774
House,House Ways & Means,not_predicted,103,39,443,-0.209,-0.165,-0.043999999999999984,0.043999999999999984,-0.298,0.204,FALSE,0.595040495950405
House,House Ways & Means,not_predicted,104,39,445,0.27,0.178,0.09200000000000003,0.09200000000000003,-0.264,0.331,FALSE,0.45795420457954206
House,House Ways & Means,not_predicted,105,39,444,0.288,0.158,0.12999999999999998,0.12999999999999998,-0.302,0.335,FALSE,0.4958504149585041
House,House Ways & Means,not_predicted,106,39,440,0.288,0.135,0.15299999999999997,0.15299999999999997,-0.304,0.334,FALSE,0.5226477352264773
House,House Ways & Means,not_predicted,107,41,444,0.288,0.158,0.12999999999999998,0.12999999999999998,-0.304,0.333,FALSE,0.5325467453254674
House,House Ways & Means,not_predicted,108,41,440,0.288,0.211,0.07699999999999999,0.07699999999999999,-0.299,0.34,FALSE,0.5358464153584641
House,House Ways & Means,not_predicted,109,42,439,0.3055,0.229,0.07649999999999998,0.07649999999999998,-0.2945125,0.34550000000000003,FALSE,0.5009499050094991
House,House Ways & Means,not_predicted,110,41,449,-0.27,-0.155,-0.11500000000000002,0.11500000000000002,-0.317,0.32,FALSE,0.45165483451654836
House,House Ways & Means,not_predicted,111,41,448,-0.302,-0.184,-0.118,0.118,-0.317,0.282,FALSE,0.2146785321467853
House,House Ways & Means,not_predicted,112,39,445,0.313,0.269,0.043999999999999984,0.043999999999999984,-0.305,0.4,FALSE,0.6801319868013199
House,House Ways & Means,not_predicted,113,39,444,0.311,0.2585,0.05249999999999999,0.05249999999999999,-0.305,0.406,FALSE,0.6245375462453755
House,House Ways & Means,not_predicted,114,41,441,0.362,0.292,0.07,0.07,-0.297,0.429,FALSE,0.46325367463253675
House,House Ways & Means,not_predicted,115,44,450,0.3705,0.28049999999999997,0.09000000000000002,0.09000000000000002,-0.287,0.4325,FALSE,0.44385561443855615
House,House Ways & Means,not_predicted,116,43,449,-0.283,-0.194,-0.08899999999999997,0.08899999999999997,-0.325,0.385,FALSE,0.43845615438456154
House,House Ways & Means,not_predicted,117,42,455,-0.2355,-0.164,-0.07149999999999998,0.07149999999999998,-0.314,0.40700000000000003,FALSE,0.7906209379062094
Senate,Senate Appropriations,not_predicted,103,29,102,-0.216,-0.1435,-0.07250000000000001,0.07250000000000001,-0.276,0.2,FALSE,0.4981501849815019
Senate,Senate Appropriations,not_predicted,104,29,103,0.014,0.084,-0.07,0.07,-0.241,0.304,FALSE,0.7053294670532947
Senate,Senate Appropriations,not_predicted,105,27,100,0.068,0.153,-0.08499999999999999,0.08499999999999999,-0.256,0.344,FALSE,0.6623337666233376
Senate,Senate Appropriations,not_predicted,106,27,102,0.068,0.135,-0.067,0.067,-0.231,0.331,FALSE,0.7626237376262374
Senate,Senate Appropriations,not_predicted,107,28,101,-0.2265,0.003,-0.2295,0.2295,-0.259,0.307,FALSE,0.2308769123087691
Senate,Senate Appropriations,not_predicted,108,29,100,0.068,0.0795,-0.011499999999999996,0.011499999999999996,-0.256,0.304,FALSE,1
Senate,Senate Appropriations,not_predicted,109,28,101,0.14350000000000002,0.185,-0.04149999999999998,0.04149999999999998,-0.239,0.34750000000000003,FALSE,0.8213178682131786
Senate,Senate Appropriations,not_predicted,110,29,102,-0.03,0.019000000000000003,-0.049,0.049,-0.266,0.333,FALSE,1
Senate,Senate Appropriations,not_predicted,111,30,111,-0.201,-0.205,0.003999999999999976,0.003999999999999976,-0.29200000000000004,0.1815,FALSE,0.8936106389361064
Senate,Senate Appropriations,not_predicted,112,30,102,-0.1145,-0.156,0.041499999999999995,0.041499999999999995,-0.2505,0.3660124999999998,FALSE,0.8156184381561844
Senate,Senate Appropriations,not_predicted,113,30,105,-0.201,-0.193,-0.008000000000000007,0.008000000000000007,-0.273,0.3645,FALSE,0.8919108089191081
Senate,Senate Appropriations,not_predicted,114,30,100,0.1635,0.286,-0.12249999999999997,0.12249999999999997,-0.22749999999999998,0.4,FALSE,0.39266073392660733
Senate,Senate Appropriations,not_predicted,115,32,105,0.1635,0.285,-0.12149999999999997,0.12149999999999997,-0.2285,0.4075,FALSE,0.48755124487551244
Senate,Senate Appropriations,not_predicted,116,31,102,0.124,0.2855,-0.16149999999999998,0.16149999999999998,-0.245,0.413,FALSE,0.39536046395360464
Senate,Senate Appropriations,not_predicted,117,30,102,0.0335,0.0335,0,0,-0.277,0.41600000000000004,FALSE,1
Senate,Senate Budget,not_predicted,103,21,102,-0.214,-0.1435,-0.07050000000000001,0.07050000000000001,-0.296,0.257,FALSE,0.6109389061093891
Senate,Senate Budget,not_predicted,104,25,103,0.257,0.084,0.173,0.173,-0.262,0.311,FALSE,0.5185481451854814
Senate,Senate Budget,not_predicted,105,22,100,0.14150000000000001,0.153,-0.011499999999999982,0.011499999999999982,-0.2610125,0.353,FALSE,0.9572042795720428
Senate,Senate Budget,not_predicted,106,22,102,0.14150000000000001,0.135,0.006500000000000006,0.006500000000000006,-0.2485,0.34199999999999997,FALSE,0.9778022197780222
Senate,Senate Budget,not_predicted,107,23,101,-0.193,0.003,-0.196,0.196,-0.268,0.338,FALSE,0.5228477152284772
Senate,Senate Budget,not_predicted,108,23,100,0.257,0.0795,0.1775,0.1775,-0.268,0.32417499999999744,FALSE,0.5271472852714728
Senate,Senate Budget,not_predicted,109,23,101,0.257,0.185,0.07200000000000001,0.07200000000000001,-0.267,0.361,FALSE,0.7497250274972502
Senate,Senate Budget,not_predicted,110,23,102,-0.193,0.019000000000000003,-0.21200000000000002,0.21200000000000002,-0.268,0.356,FALSE,0.48095190480951905
Senate,Senate Budget,not_predicted,111,23,111,-0.215,-0.205,-0.010000000000000009,0.010000000000000009,-0.309,0.287,FALSE,0.7648235176482352
Senate,Senate Budget,not_predicted,112,24,102,0.07899999999999999,-0.156,0.235,0.235,-0.262,0.3745,FALSE,0.31396860313968605
Senate,Senate Budget,not_predicted,113,22,105,-0.181,-0.193,0.01200000000000001,0.01200000000000001,-0.30200000000000005,0.379,FALSE,0.8819118088191181
Senate,Senate Budget,not_predicted,114,22,100,0.3565,0.286,0.07050000000000001,0.07050000000000001,-0.253,0.4105374999999994,FALSE,0.7638236176382361
Senate,Senate Budget,not_predicted,115,25,105,0.367,0.285,0.08200000000000002,0.08200000000000002,-0.245,0.413,FALSE,0.7455254474552545
Senate,Senate Budget,not_predicted,116,21,102,0.362,0.2855,0.07650000000000001,0.07650000000000001,-0.278,0.435,FALSE,0.8015198480151985
Senate,Senate Budget,not_predicted,117,20,102,-0.2245,0.0335,-0.258,0.258,-0.3095,0.4395,FALSE,0.5441455854414559
Senate,Senate Finance,not_predicted,103,20,102,-0.1325,-0.1435,0.010999999999999982,0.010999999999999982,-0.2925,0.2425,FALSE,0.9638036196380362
